---,Actor,Location,Rotation,Scale,Meshes
Row_0,Class'/Script/Engine.StaticMeshActor',"(X=25843.074219,Y=-92866.757812,Z=1798.856445)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_1,Class'/Script/Engine.StaticMeshActor',"(X=4070.000000,Y=5470.000000,Z=-871.084839)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=449.250000,Y=0.500000,Z=1.000000)","((StaticMesh=StaticMesh'/Engine/BasicShapes/Cube.Cube'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_2,Class'/Script/Engine.StaticMeshActor',"(X=-3543.513184,Y=9944.599609,Z=-719.891785)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/skull_SM_Cowskull_01.skull_SM_Cowskull_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_cowskull_01""')))"
Row_3,Class'/Script/Engine.StaticMeshActor',"(X=5523.007812,Y=20691.689453,Z=-1415.860962)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=2.000000,Y=2.000000,Z=2.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/LevelStructure/SM_2m_Floor_Plane.SM_2m_Floor_Plane'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/LevelStructure/MI_Concrete_Wet_Muddy""')))"
Row_4,Class'/Script/Engine.StaticMeshActor',"(X=-10902.094727,Y=15751.661133,Z=-508.878723)","(Pitch=0.000000,Yaw=189.566498,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","()"
Row_5,Class'/Script/Engine.StaticMeshActor',"(X=-10721.336914,Y=15965.009766,Z=-588.665527)","(Pitch=0.000000,Yaw=189.566498,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","()"
Row_6,Class'/Script/Engine.StaticMeshActor',"(X=-13400.911133,Y=27801.990234,Z=-74.759430)","(Pitch=0.000000,Yaw=267.246216,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_06/SM_BIG_Desert_Rock_06_UE4.SM_BIG_Desert_Rock_06_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_06/Materials/M_BIG_Desert_Rock_06_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_06/Materials/M_BIG_Desert_Rock_06_UE4_lod1""')))"
Row_7,Class'/Script/Engine.StaticMeshActor',"(X=-14055.682617,Y=27658.488281,Z=156.587479)","(Pitch=2.846864,Yaw=-113.159386,Roll=-76.964699)","(X=1.323363,Y=1.323363,Z=1.323363)","((StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_07/SM_BIG_Desert_Rock_07_UE4.SM_BIG_Desert_Rock_07_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_07/Materials/M_BIG_Desert_Rock_07_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_07/Materials/M_BIG_Desert_Rock_07_UE4_lod1""')))"
Row_8,Class'/Script/Engine.StaticMeshActor',"(X=-13550.213867,Y=26982.484375,Z=-471.293884)","(Pitch=-0.000001,Yaw=-21.639864,Roll=0.000003)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/WesterTown/Models/Nature/Cave/SM_Cave_Shaft_Entrance.SM_Cave_Shaft_Entrance'',Materials=(MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Cave/MI_Cave_Wall""',MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Cave/MI_Cave_Ground""',MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Cave/MI_Cave_Roof""',MaterialInstanceConstant'""/Game/Assets/Environment/Props/Sandstone/Materials/MI_Sandstone_02""',Material'""/Game/WesterTown/Materials/Nature/Cave/M_Cave_Supprt""')))"
Row_9,Class'/Script/Engine.StaticMeshActor',"(X=-4829.370117,Y=32640.296875,Z=-478.294403)","(Pitch=-0.000001,Yaw=-36.639694,Roll=0.000003)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/WesterTown/Models/Nature/Cave/SM_Cave_Shaft_Entrance.SM_Cave_Shaft_Entrance'',Materials=(MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Cave/MI_Cave_Wall""',MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Cave/MI_Cave_Ground""',MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Cave/MI_Cave_Roof""',MaterialInstanceConstant'""/Game/Assets/Environment/Props/Sandstone/Materials/MI_Sandstone_02""',Material'""/Game/WesterTown/Materials/Nature/Cave/M_Cave_Supprt""')))"
Row_10,Class'/Script/Engine.StaticMeshActor',"(X=20830.000000,Y=100.000000,Z=-1690.000000)","(Pitch=0.000000,Yaw=-100.000092,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Junkyard/Meshes/Props/Wheels/SM_Damaged_Disk_4.SM_Damaged_Disk_4'',Materials=(MaterialInstanceConstant'""/Game/Junkyard/Materials/Instances/Props/MI_Junkyard_Wheels_Damaged_MMProps""')))"
Row_11,Class'/Script/Engine.StaticMeshActor',"(X=13893.000000,Y=26677.000000,Z=-1514.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/SMALL_Desert_Rocks/Desert_Rock_Piles/SM_Desert_Rock_Pile_01_UE4.SM_Desert_Rock_Pile_01_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/SMALL_Desert_Rocks/Desert_Rock_Piles/Materials/M_Desert_Rock_Pile_01""')))"
Row_12,Class'/Script/Engine.StaticMeshActor',"(X=14048.000000,Y=26838.000000,Z=-1527.000000)","(Pitch=0.000000,Yaw=117.105095,Roll=0.000000)","(X=1.170983,Y=1.170983,Z=1.170983)","((StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/SMALL_Desert_Rocks/Desert_Rock_Piles/SM_Desert_Rock_Pile_02_UE4.SM_Desert_Rock_Pile_02_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/SMALL_Desert_Rocks/Desert_Rock_Piles/Materials/M_Desert_Rock_Pile_01""')))"
