---,Actor,Location,Rotation,Scale,Meshes
Row_0,Class'/Script/Engine.Actor',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Pipes/SM_PipeA_Straight.SM_PipeA_Straight'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_PipesRailings""')),(StaticMesh=StaticMesh'/Engine/BasicShapes/Cube.Cube'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_05/SM_BIG_Desert_Rock_05_UE4.SM_BIG_Desert_Rock_05_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_05/Materials/M_BIG_desert_Rock_05_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_05/Materials/M_BIG_desert_Rock_05_UE4_lod1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_02/SM_BIG_Desert_Rock_02_UE4.SM_BIG_Desert_Rock_02_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_02/Materials/M_BIG_Desert_Rock_02_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_02/Materials/M_BIG_Desert_Rock_02_UE4_LOD1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_09/SM_BIG_Desert_Rock_09_UE4.SM_BIG_Desert_Rock_09_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_09/Materials/M_BIG_Desert_Rock_09_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_09/Materials/M_BIG_Desert_Rock_09_UE4_lod1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_03/SM_BIG_Desert_Rock_03_UE4.SM_BIG_Desert_Rock_03_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_03/Materials/M_BIG_Desert_Rock_03_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_03/Materials/M_BIG_Desert_Rock_03_Lod1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/MEDIUM_desert_rock_03/SM_MEDIUM_Desert_Rock_03_UE4.SM_MEDIUM_Desert_Rock_03_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/MEDIUM_desert_rock_03/Materials/M_MEDIUM_Desert_Rock_03_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/MEDIUM_desert_rock_03/Materials/M_MEDIUM_Desert_Rock_03_UE4_lod1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_01/SM_BIG_Desert_Rock_01_UE4.SM_BIG_Desert_Rock_01_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_01/Materials/M_BIG_Desert_Rock_01_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_01/Materials/M_BIG_Desert_Rock_01_UE4_LOD1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_04/SM_BIG_Desert_Rock_04_UE4.SM_BIG_Desert_Rock_04_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_04/Materials/M_BIG_Desert_Rock_04_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_04/Materials/M_BIG_Desert_Rock_04_UE4_Lod1""')),(StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_08/SM_BIG_Desert_Rock_08_UE4.SM_BIG_Desert_Rock_08_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_08/Materials/M_BIG_Desert_Rock_08_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_08/Materials/M_BIG_Desert_Rock_08_UE4_LOD1""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_tire_01.SM_tire_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_tire_01""')),(StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Props/SM_Pallet_01_PlankA.SM_Pallet_01_PlankA'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_Pallet_01""')),(StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Props/SM_Pallet_01_PlankC.SM_Pallet_01_PlankC'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_Pallet_01""')),(StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Props/SM_Pallet_01_PlankB.SM_Pallet_01_PlankB'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_Pallet_01""')),(StaticMesh=StaticMesh'/Engine/BasicShapes/Cube.Cube'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')),(StaticMesh=StaticMesh'/Game/WesterTown/Models/Nature/Foliage/SM_Fol_Roots3.SM_Fol_Roots3'',Materials=(MaterialInstanceConstant'""/Game/WesterTown/Materials/Nature/Foliage/MI_Bush""')),(StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/LevelStructure/SM_BeamE.SM_BeamE'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/LevelStructure/MI_LevelRims""')),(StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Pipes/SM_PipeA_Section.SM_PipeA_Section'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_PipesRailings""')),(StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Pipes/SM_PipeA_1mTurn.SM_PipeA_1mTurn'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_PipesRailings""')))"
Row_1,Class'/Script/Engine.Actor',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_Barrel_01.SM_Barrel_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_Barrel_01""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Brick_Pile_01.SM_Debris_Brick_Pile_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_Med_02.SM_Debris_Pile_Med_02'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_Small_01.SM_Debris_Pile_Small_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_XLarge_01.SM_Debris_Pile_XLarge_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_trashbag_01_a.SM_trashbag_01_a'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_trashbag_01_MMProps""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_trashbag_01_c.SM_trashbag_01_c'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_trashbag_01_MMProps""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_trashbag_02_b.SM_trashbag_02_b'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_trashbag_02""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Brick_Single.SM_Debris_Brick_Single'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_CinderBlock.SM_Debris_CinderBlock'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_CinderBlock_Chunk_01.SM_Debris_CinderBlock_Chunk_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_CinderBlock_Chunk_03.SM_Debris_CinderBlock_Chunk_03'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_CinderBlock_Pile_01.SM_Debris_CinderBlock_Pile_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_Edge_Med_01.SM_Debris_Pile_Edge_Med_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_Med_01.SM_Debris_Pile_Med_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')),(StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_Large_01.SM_Debris_Pile_Large_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')))"
Row_2,Class'/Script/Engine.Actor',"(X=2558.380615,Y=12714.066406,Z=-710.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_3,Class'/Script/Engine.Actor',"(X=6180.000000,Y=12190.000000,Z=-760.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_4,Class'/Script/Engine.Actor',"(X=13596.795898,Y=26276.476562,Z=-1483.357910)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_5,Class'/Script/Engine.Actor',"(X=21215.841797,Y=24763.492188,Z=-1771.033203)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_6,Class'/Script/Engine.Actor',"(X=20510.447266,Y=33891.515625,Z=-1455.588257)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_7,Class'/Script/Engine.Actor',"(X=18581.339844,Y=27794.218750,Z=-2008.782227)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_8,Class'/Script/Engine.Actor',"(X=-2350.000000,Y=12000.000000,Z=-640.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_9,Class'/Script/Engine.Actor',"(X=-141.740356,Y=13100.687500,Z=-694.250427)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
